Index,Year,Title,Authors,Abstract,Topics,Predict,Relevant,Objective,Method,Result
155,2014,Research Directions for the Internet of Things,"Stankovic, JA","Many technical communities are vigorously pursuing research topics that contribute to the Internet of Things (IoT). Nowadays, as sensing, actuation, communication, and control become even more sophisticated and ubiquitous, there is a significant overlap in these communities, sometimes from slightly different perspectives. More cooperation between communities is encouraged. To provide a basis for discussing open research problems in IoT, a vision for how IoT could change the world in the distant future is first presented. Then, eight key research topics are enumerated and research problems within these topics are discussed.",0,1,1,,,
159,2016,On Networking of Internet of Things: Explorations and Challenges,"Ma, HD; Liu, L; Zhou, AF; Zhao, D","Internet of Things (IoT), as the trend of future networks, begins to be used in many aspects of daily life. It is of great significance to recognize the networking problem behind developing IoT. In this paper, we first analyze and point out the key problem of IoT from the perspective of networking: how to interconnect large-scale heterogeneous network elements and exchange data efficiently. Combining our on-going works, we present some research progresses on three main aspects: 1) the basic model of IoT architecture; 2) the internetworking model; and 3) the sensor-networking mode. Finally, we discuss two remaining challenges in this area.",0,1,1,"In this paper, we first analyze and point out the key problem of IoT from the perspective of networking: how to interconnect large-scale heterogeneous network elements and exchange data efficiently.","Internet of Things (IoT), as the trend of future networks, begins to be used in many aspects of daily life.",
160,2016,Energy Aware Internet of Things using Gaussian Membership Function,"Singh, S; Kaur, H","The Internet of things (IoT) evolves when everyday ordinary objects have inter-connected microchips inside them. The existing literature has ignored the use of Bell shaped as membership functions in fuzzy logic based Internet of things. These shapes have tendency to increase accuracy and precision of Internet of things. The existing methodologies involved traditional triangular membership functions that used fixed parameters. If these parameters get changed, results would lead to reduction in energy consumption. To give smooth move between levels, Bell shaped membership functions can be utilized. They can guide for firing the maximum number of rules in the rule base and from now on a more precise representation of the input output relationship is accomplished. In this paper we have designed a Gaussian membership function to design and implement Internet of things. Experimental results clearly indicate that the proposed technique outperforms over the available technique.",1,1,1,Experimental results clearly indicate that the proposed technique outperforms over the available technique.,The existing literature has ignored the use of Bell shaped as membership functions in fuzzy logic based Internet of things.The existing methodologies involved traditional triangular membership functions that used fixed parameters.,"If these parameters get changed, results would lead to reduction in energy consumption.Experimental results clearly indicate that the proposed technique outperforms over the available technique."
166,2014,Ontology-based Semantic Modeling and Evaluation for Internet of Things Applications,"Ma, M; Wang, P; Chu, CH","Internet of Things (IoT) is a major paradigm shift from traditional Internet applications that connects things / objects to the Internet for automatic sensing, information processing, understanding, reasoning, decision and response to virtual and physical world. Due to its highly distributed and heterogeneous characteristics, it requires more semantic interactions between different scenarios. Therefore, interoperability is one of the most fundamental requirements for IoT systems. Currently, semantic modeling for IoT applications has significant deficiency in its reusability and interoperability. In this paper, we propose a semantic information model for IoT applications, named OntoloT. This model has a two-level architecture including a set of general upper ontology and flexible interfaces for different application domain ontology extensions. We have preliminarily implemented the OntoloT framework and domain extension in selected scenarios of smart space and healthcare. A data-driven and other ontology evaluation approaches are used to prove the scalability and interoperability of OntoloT. Result demonstrates that, compared to other test ontologies, OntoloT is more suitable for the given application scenario.",3,1,1,"In this paper, we propose a semantic information model for IoT applications, named OntoloT.","A data-driven and other ontology evaluation approaches are used to prove the scalability and interoperability of OntoloT. Result demonstrates that, compared to other test ontologies, OntoloT is more suitable for the given application scenario.A data-driven and other ontology evaluation approaches are used to prove the scalability and interoperability of OntoloT. Result demonstrates that, compared to other test ontologies, OntoloT is more suitable for the given application scenario.",
170,2014,Short Paper: Wireless Sensor Network Management for Sustainable Internet of Things,"Kim, J; Yu, S; Lee, J","Conventional network management was based on wired network, which is unsuitable for resource constrained devices. WSNs consist Internet of Things (IoT) can be large scale networks, and it is impossible to manage each node individually. In this paper, we propose a network management protocol for WSNs to reduce management traffic.",1,1,1,"In this paper, we propose a network management protocol for WSNs to reduce management traffic.",,
171,2016,A Proficient Heuristic for Selecting Friends in Social Internet of Things,"Arjunasamy, A; Ramasamy, T","Internet of things (IOT) has a large number of smart objects which automatically interacts with each other through various communication protocols. They also cooperate with their neighbors to reach common goals. As the number of devices on the internet increases, the searching for right device which would provide the desired service becomes essential. Social networking concepts are incorporated into Internet of Things called Social Internet of Things (SIOT). Smart objects can find the desired services through its friends in a decentralized manner using only local information. In this work, a heuristic for efficient selection of friends is proposed to improve the overall network navigability. An analysis is also performed based on giant component, local clustering coefficient, average path length and average degree of connections.",1,1,1,"In this work, a heuristic for efficient selection of friends is proposed to improve the overall network navigability.",Smart objects can find the desired services through its friends in a decentralized manner using only local information.,
175,2015,Cognitive Internet of Things: A Unified Perspective (Invited Paper),"Zaidi, SAR; Shakir, MZ; Imran, MA; Ghogho, M; Vasilakos, A; Qaraqe, K; McLernon, D","In this article, we present a unified perspective on the cognitive internet of things (CIoT). It is noted that the CIoT design is the convergence of energy harvesting, cognitive spectrum access and mobile cloud computing technologies. We unify these distinct technologies into a CIoT architecture which provides a flexible, dynamic, scalable and robust network design road-map for a large scale IoT deployment. A general statistical framework is developed and new metrices are introduced so that the design space of the CIoT can be quantitatively explored in the future. A brief overview of both the energy and spectral performances of the CIoT network is presented and its possible future extensions are highlighted.",0,1,1,,,
176,2014,Extending the Internet of Things to the Future Internet through IPv6 support,"Jara, AJ; Varakliotis, S; Skarmeta, AF; Kirstein, P","Emerging Internet of Things (IoT)/Machine-to-Machine (M2M) systems require a transparent access to information and services through a seamless integration into the Future Internet. This integration exploits infrastructure and services found on the Internet by the IoT. On the one hand, the so-called Web of Things aims for direct Web connectivity by pushing its technology down to devices and smart things. On the other hand, the current and Future Internet offer stable, scalable, extensive, and tested protocols for node and service discovery, mobility, security, and auto-configuration, which are also required for the IoT. In order to integrate the IoT into the Internet, this work adapts, extends, and bridges using IPv6 the existing IoT building blocks (such as solutions from IEEE 802.15.4, BT-LE, RFID) while maintaining backwards compatibility with legacy networked embedded systems from building and industrial automation. Specifically, this work presents an extended Internet stack with a set of adaptation layers from non-IP towards the IPv6-based network layer in order to enable homogeneous access for applications and services.",0,1,1,,"In order to integrate the IoT into the Internet, this work adapts, extends, and bridges using IPv6 the existing IoT building blocks (such as solutions from IEEE 802.15.4, BT-LE, RFID) while maintaining backwards compatibility with legacy networked embedded systems from building and industrial automation.",
182,2018,Internet of Thing Based Vehicular Network System and Application,"Liu, PJ","As the current emerging and fiery industry, the Internet of Things has received much attention in all aspects of production and life. Transportation has developed a series of application technologies based on the Internet of Things, the most popular of which is the Internet of Vehicles. The standardization of pure electric vehicles provides a stable foundation for the realization of the Internet of Vehicles. Furthermore, it will further add necessary information collection and transmission modules such as sensors and communication units to realize the interconnection of vehicles, vehicles and vehicles, vehicles and infrastructure, and further form a wider coverage of the Internet of Vehicles. Under the control of the control center, real-time transmission and analysis of information is realized, which lays a foundation for the application of autonomous driving.",3,1,1,,,
184,2016,E-Commerce Model Based on the Internet of Things,"Hsu, LF","Over the past decade years, the rapid development of Internet-based technologies has resulted into the shorter life cycles of services. The fourth generation mobile communication technology standards, cloud computing, big data, wearable and physical networking will affect consumption behavior, and change the e-commerce module. This paper provides an e-commerce models for Internet of Things (loT), services and people applications. Though a literature survey, interviews and a survey among practitioners, we built blocks which are relevant in an Internet of Things business model, which can be focused on within these building blocks and the relative importance of these building blocks and types. The framework can be used for creating e-commerce models for Internet of Things applications.",0,1,1,,The framework can be used for creating e-commerce models for Internet of Things applications.,"Over the past decade years, the rapid development of Internet-based technologies has resulted into the shorter life cycles of services."
185,2012,The Research of Data Mining Technology of Privacy Preserving in Sharing Platform of Internet of Things,"Chen, LY; Ren, GW","The development of the Internet of Things sets off the third waves of the world information industry after the invention and use of computer and Internet. The data mining technology plays a vital role in the development and promotion of Internet of Things, but it causes leakage problem of privacy information at the same time. In the light of the data mining association rules and randomized response method. We propose a new method, suppressible randomized response method (SRRM), and introduce the data mining algorithm of privacy protection based on SRR. Finally, this paper evaluates the privacy of the method.",2,1,1,"We propose a new method, suppressible randomized response method (SRRM), and introduce the data mining algorithm of privacy protection based on SRR.","The development of the Internet of Things sets off the third waves of the world information industry after the invention and use of computer and Internet.In the light of the data mining association rules and randomized response method.We propose a new method, suppressible randomized response method (SRRM), and introduce the data mining algorithm of privacy protection based on SRR.We propose a new method, suppressible randomized response method (SRRM), and introduce the data mining algorithm of privacy protection based on SRR.Finally, this paper evaluates the privacy of the method.",
189,2014,Application of Wireless Access Control System in Internet of Things,"Zhu, D; Li, MF","This paper introduces an intelligent access control system of combining Internet of things technology and wireless communication technology. Through the analysis and research of Internet of things technology, wireless communication technology and traditional access control system, it combines with the three aspects of features, constructs a Internet of things as the basic construction, uses ZigBee wireless communication technology and adopts distribution control integrated control one-stop intelligence access control system.",2,1,1,,"Through the analysis and research of Internet of things technology, wireless communication technology and traditional access control system, it combines with the three aspects of features, constructs a Internet of things as the basic construction, uses ZigBee wireless communication technology and adopts distribution control integrated control one-stop intelligence access control system.",
190,2015,Caching in Named Data Networking for the Wireless Internet of Things,"Hail, MA; Amadeo, M; Molinaro, A; Fischer, S","Named Data Networking (NDN) is a promising Information-Centric future Internet architecture. Besides its recognized potentialities as a content retrieval solution in wired domains, NDN has been also recently considered as an enabling technology for the Internet of Things (IoT), thanks to its innovative features like named-based routing and in-network caching. In particular, the possibility of caching at intermediate nodes can be especially useful to reduce the retrieval delay, and limit the network traffic and the load on data producer. However, unlike traditional Internet contents, IoT data are typically transient and periodically refreshed by the producer. At the same time, unlike Internet routers, IoT devices can be resource-constrained, with limitations in terms of energy, storage and processing capabilities. Therefore, caching algorithms designed for (intransient) Internet traffic and Internet routers do not well suit IoT domains. In this paper, we consider a wireless NDN-IoT network and propose a novel distributed probabilistic caching strategy that relies on the freshness of data and on potentially constrained capabilities of devices (energy level and storage capacity). The proposed solution has been evaluated through simulations with ndnSIM and results show that it outperforms traditional NDN caching mechanisms in terms of data retrieval and network energy efficiency.",0,1,1,"In this paper, we consider a wireless NDN-IoT network and propose a novel distributed probabilistic caching strategy that relies on the freshness of data and on potentially constrained capabilities of devices (energy level and storage capacity).The proposed solution has been evaluated through simulations with ndnSIM and results show that it outperforms traditional NDN caching mechanisms in terms of data retrieval and network energy efficiency.",,The proposed solution has been evaluated through simulations with ndnSIM and results show that it outperforms traditional NDN caching mechanisms in terms of data retrieval and network energy efficiency.
191,2017,INTERNET OF THINGS IN ENERGY INDUSTRY,"Sladek, P; Maryska, M","This paper is devoted to the analysis of the importance and usability of the Internet of Things in Energy Industry. Paper is based on research realized in utility company in Czech Republic. We are describing basic concepts of the Internet of Thing (JoT) and Industry 4.0, relation to Big Data and Information Systems in general. The most important part of the paper presents outputs of the research of business driven use cases enabled by JoT concept and technology. We analyzed possible cases where JoT can be used with more than 50 managers of this company. Applicability of JoT concept was analyzed in five different streams: Sales, Generation, Distribution, Mining and Facility. All identified use cases were prioritized based on business value and difficulty to implement them.",3,1,1,"We analyzed possible cases where JoT can be used with more than 50 managers of this company.Applicability of JoT concept was analyzed in five different streams: Sales, Generation, Distribution, Mining and Facility.",The most important part of the paper presents outputs of the research of business driven use cases enabled by JoT concept and technology.We analyzed possible cases where JoT can be used with more than 50 managers of this company.All identified use cases were prioritized based on business value and difficulty to implement them.,
192,2020,Application Prospect of Internet of Things Technology in Rural Revitalization,"Zhang, XQ; Wang, YM","In order to better realize rural revitalization and promote the development of agriculture in the direction of intelligence and efficiency, people need to combine the Internet of Things technology with rural revitalization. Moreover, as the Internet of Things technology continues to improve, its role will become more and more obvious. This article summarizes the problems existing in the process of rural revitalization based on previous work experience. The author discusses the application prospects of the Internet of Things technology in rural revitalization from five aspects: Internet of Things smart agriculture, smart elderly care and medical care, Internet of Things course education, technology integration, and science and technology to promote agricultural modernization.",2,1,1,,,
194,2015,Massive data processing techniques and model in Internet of things,"Wang, YB; Yan, QF; Liu, LQ","with the further development of Internet, rapid scales. Technology the expansion of Internet use is growing due to such rapid growth in this industry, the amount of data dealt by Internet of things becomes the feature of massive amount. The key problems that should be considered with, is how to efficiently processing these data, from which can get useful information, and then to provide intelligent decision. In connection with the new inquiry of massive data processing in the era of Internet of things. To understand the massive data processing technique is used in the Internet of things, through the analysis of massive, heterogeneous, Multi-dimension and dynamic network data. To explore from 4 aspects of the network data acquisition, data transmission, data model and storage, data processing applications, based on the data processing model of Internet of things technology system, construct a general network data storage, analysis and presentation model.",3,1,1,,"Technology the expansion of Internet use is growing due to such rapid growth in this industry, the amount of data dealt by Internet of things becomes the feature of massive amount.To understand the massive data processing technique is used in the Internet of things, through the analysis of massive, heterogeneous, Multi-dimension and dynamic network data.",
195,2015,Design of spectrometer based on the Internet of things,"Zheng, LY; Sun, J; Wu, HQ","The features, architecture, hardware connection, application software and the transfer protocol about the spectrometer based on the internet of things are presented in this paper. Applying the technology of the internet of things, it can enhance the real-time and remote control ability of spectrometer, improve the production efficiency and quality. This spectrometer based on the internet of things will play a more important role in the industrial production.",3,1,1,,,
196,2015,The Perceptual Environment Security Mechanism Research for Internet of Things,"Ma, SD; Huang, H","The Internet of things has become the computer and the Internet after the wave of new information technologies. The goal of the Internet of things is a comprehensive perception, on the basis of Internet technology and platform, to build a person connected to the object, content and the content of the platform. The deepening of the research in recent years, along with the Internet of things, and the Internet of things applications of expansion, it to the further development of information society brings new change, at the same time, Internet information security problem also gradually aroused the concern of the industry is larger.",3,1,1,,,
197,2017,A Firewall for Internet of Things,"Gupta, N; Sengupta, S; Naik, V","With the advent of the Internet of Things (IoT), privacy and security of sensitive data has become a major concern. In general, sensors which are the enablers for IoT, send the sensed data to a cloud database over the internet. The communication to the cloud database may be compromised by an adversary, or the database maybe accessed by a curious database administrator, thereby raising security concerns. To solve this issue, we demonstrate a solution to safeguard IoT devices in a home network scenario from potential attacks. A firewall is set up using a Raspberry Pi as a gateway which secures their communication with the cloud database. Furthermore, we plan to build a location-aware (physical location in the home network scenario) heuristics and a signature based traffic detection dashboard running on the Raspberry Pi, in order to control the IoT devices and log their network behavior.",1,1,1,,A firewall is set up using a Raspberry Pi as a gateway which secures their communication with the cloud database.,
